-3.0000 0.0000 2
3.0000 6.0000 1
-3.0000 0.0000 1
0.0000 3.0000 3
0.0000 6.0000 1
0.0000 -3.0000 1
0.0000 6.0000 1
3.0000 6.0000 1
-3.0000 3.0000 1
0.0000 6.0000 36
-6.0000 0.0000 1
3.0000 3.0000 1
-3.0000 0.0000 1
0.0000 6.0000 1
-3.0000 3.0000 1
3.0000 0.0000 2
-3.0000 0.0000 1
3.0000 6.0000 1
-9.0000 3.0000 2
3.0000 0.0000 1
-3.0000 6.0000 1
0.0000 3.0000 3
0.0000 6.0000 2
3.0000 3.0000 1
-3.0000 6.0000 2
-3.0000 3.0000 3
3.0000 0.0000 1
-3.0000 6.0000 1
0.0000 3.0000 1
3.0000 6.0000 3
-3.0000 3.0000 1
0.0000 6.0000 3
-6.0000 0.0000 2
0.0000 3.0000 1
0.0000 6.0000 1
0.0000 3.0000 2
-3.0000 0.0000 2
3.0000 6.0000 1
-3.0000 0.0000 1
0.0000 3.0000 1
-6.0000 6.0000 2
-3.0000 0.0000 1
0.0000 3.0000 1
0.0000 6.0000 3
-6.0000 3.0000 1
3.0000 0.0000 1
-3.0000 0.0000 1
0.0000 6.0000 1
-3.0000 3.0000 2
3.0000 0.0000 1
-3.0000 6.0000 1
0.0000 3.0000 2
-6.0000 6.0000 2
0.0000 3.0000 2
0.0000 6.0000 2
-3.0000 0.0000 1
3.0000 3.0000 1
-3.0000 0.0000 1
0.0000 6.0000 2
0.0000 3.0000 1
-6.0000 0.0000 2
0.0000 6.0000 1
0.0000 3.0000 3
0.0000 9.0000 1
-3.0000 -3.0000 1
0.0000 9.0000 1
0.0000 3.0000 3
0.0000 6.0000 1
-6.0000 -3.0000 1
0.0000 6.0000 1
0.0000 -3.0000 1
0.0000 3.0000 2
-3.0000 6.0000 37
0.0000 3.0000 3
0.0000 6.0000 1
-6.0000 0.0000 1
3.0000 3.0000 1
-3.0000 0.0000 1
0.0000 6.0000 1
-3.0000 0.0000 3
3.0000 0.0000 1
-3.0000 3.0000 1
-6.0000 0.0000 1
0.0000 6.0000 1
3.0000 0.0000 1
-6.0000 3.0000 2
3.0000 0.0000 1
-3.0000 0.0000 1
0.0000 6.0000 1
0.0000 3.0000 3
-6.0000 0.0000 1
0.0000 6.0000 1
0.0000 3.0000 2
-3.0000 0.0000 1
3.0000 6.0000 1
-3.0000 -3.0000 1
0.0000 6.0000 1
-6.0000 0.0000 1
3.0000 0.0000 1
-3.0000 6.0000 1
0.0000 3.0000 3
0.0000 6.0000 1
0.0000 3.0000 2
0.0000 6.0000 3
-3.0000 0.0000 2
0.0000 3.0000 1
-3.0000 6.0000 1
-3.0000 0.0000 3
0.0000 3.0000 2
-3.0000 0.0000 1
0.0000 6.0000 1
-3.0000 9.0000 3
-3.0000 -3.0000 1
0.0000 3.0000 1
0.0000 3.0000 1
-3.0000 0.0000 2
0.0000 6.0000 2
-9.0000 -3.0000 1
3.0000 6.0000 1
-3.0000 0.0000 1
0.0000 6.0000 2
-6.0000 0.0000 1
3.0000 3.0000 2
0.0000 6.0000 1
0.0000 3.0000 2
-3.0000 0.0000 1
3.0000 6.0000 2
-6.0000 3.0000 1
3.0000 0.0000 1
3.0000 0.0000 1
-3.0000 9.0000 1
0.0000 -3.0000 1
-3.0000 3.0000 2
3.0000 6.0000 1
0.0000 3.0000 2
-3.0000 0.0000 1
0.0000 9.0000 1
0.0000 -3.0000 1
0.0000 3.0000 1
-6.0000 6.0000 36
0.0000 3.0000 1
9.0000 -6.0000 2
-3.0000 3.0000 2
3.0000 3.0000 1
-6.0000 0.0000 1
-3.0000 6.0000 2
0.0000 3.0000 2
-3.0000 0.0000 1
-6.0000 0.0000 1
0.0000 6.0000 2
0.0000 3.0000 1
-3.0000 -3.0000 1
0.0000 9.0000 1
0.0000 -3.0000 1
0.0000 3.0000 1
-6.0000 3.0000 1
0.0000 6.0000 3
-3.0000 -3.0000 2
0.0000 6.0000 1
-6.0000 0.0000 2
0.0000 6.0000 1
-9.0000 0.0000 1
3.0000 3.0000 1
-3.0000 0.0000 1
3.0000 6.0000 1
-3.0000 0.0000 1
-3.0000 3.0000 1
-6.0000 0.0000 1
0.0000 6.0000 1
-3.0000 3.0000 2
3.0000 0.0000 1
-3.0000 6.0000 1
-6.0000 3.0000 2
0.0000 6.0000 3
3.0000 3.0000 1
-3.0000 0.0000 1
0.0000 6.0000 1
-3.0000 0.0000 2
0.0000 3.0000 1
-6.0000 3.0000 1
3.0000 6.0000 1
-3.0000 0.0000 2
0.0000 6.0000 1
-3.0000 3.0000 3
0.0000 6.0000 1
-6.0000 0.0000 1
3.0000 0.0000 1
-3.0000 0.0000 2
0.0000 3.0000 1
-3.0000 0.0000 1
3.0000 0.0000 1
-3.0000 6.0000 1
0.0000 3.0000 1
-3.0000 0.0000 1
-3.0000 6.0000 1
-3.0000 3.0000 3
0.0000 6.0000 3
-6.0000 0.0000 2
0.0000 3.0000 2
0.0000 6.0000 1
-3.0000 0.0000 1
0.0000 3.0000 1
-6.0000 6.0000 3
0.0000 3.0000 2
0.0000 6.0000 35
0.0000 3.0000 1
-3.0000 0.0000 2
3.0000 0.0000 2
-3.0000 6.0000 1
0.0000 3.0000 1
-6.0000 6.0000 2
0.0000 3.0000 3
-3.0000 0.0000 1
0.0000 6.0000 1
-6.0000 3.0000 2
0.0000 6.0000 2
0.0000 -3.0000 1
0.0000 6.0000 1
-3.0000 -3.0000 1
0.0000 -3.0000 1
0.0000 3.0000 1
-6.0000 0.0000 1
0.0000 3.0000 1
0.0000 6.0000 1
0.0000 -3.0000 1
-3.0000 6.0000 1
0.0000 -3.0000 1
0.0000 3.0000 1
-6.0000 6.0000 3
3.0000 0.0000 1
-3.0000 3.0000 1
0.0000 6.0000 1
-3.0000 0.0000 2
0.0000 3.0000 1
-6.0000 6.0000 1
0.0000 3.0000 2
-3.0000 6.0000 2
3.0000 0.0000 2
3.0000 3.0000 1
-3.0000 6.0000 2
-3.0000 3.0000 1
0.0000 6.0000 3
-6.0000 3.0000 1
3.0000 0.0000 2
-3.0000 0.0000 1
-3.0000 9.0000 1
3.0000 -3.0000 1
-3.0000 3.0000 1
0.0000 6.0000 2
-6.0000 0.0000 1
3.0000 0.0000 1
-3.0000 0.0000 1
3.0000 3.0000 1
-3.0000 0.0000 1
0.0000 6.0000 3
0.0000 3.0000 1
0.0000 9.0000 1
0.0000 -3.0000 1
-3.0000 9.0000 1
3.0000 -3.0000 1
-3.0000 3.0000 1
-6.0000 3.0000 1
3.0000 0.0000 1
-3.0000 0.0000 1
0.0000 6.0000 1
-3.0000 3.0000 1
-6.0000 6.0000 4
3.0000 0.0000 2
-3.0000 0.0000 1
0.0000 3.0000 1
-3.0000 6.0000 3
-6.0000 0.0000 1
3.0000 3.0000 1
-3.0000 6.0000 34
3.0000 0.0000 1
-3.0000 3.0000 1
-3.0000 6.0000 3
-6.0000 3.0000 2
3.0000 0.0000 1
-3.0000 6.0000 1
-3.0000 3.0000 1
3.0000 -3.0000 1
-3.0000 3.0000 1
0.0000 6.0000 1
-6.0000 3.0000 2
0.0000 -3.0000 1
0.0000 9.0000 1
-3.0000 3.0000 2
-6.0000 0.0000 2
0.0000 6.0000 1
0.0000 3.0000 1
-3.0000 -3.0000 2
0.0000 9.0000 1
-6.0000 0.0000 3
0.0000 3.0000 1
-3.0000 6.0000 3
-6.0000 3.0000 2
3.0000 0.0000 1
-3.0000 6.0000 1
-3.0000 0.0000 1
3.0000 0.0000 1
-3.0000 9.0000 1
0.0000 -3.0000 1
-6.0000 6.0000 2
3.0000 -3.0000 1
-3.0000 9.0000 1
-3.0000 0.0000 1
0.0000 3.0000 3
-6.0000 6.0000 1
0.0000 3.0000 3
0.0000 6.0000 1
0.0000 -3.0000 1
0.0000 6.0000 1
-3.0000 0.0000 1
0.0000 6.0000 2
-6.0000 0.0000 1
3.0000 0.0000 1
-3.0000 3.0000 1
-3.0000 6.0000 1
0.0000 3.0000 2
-6.0000 0.0000 2
0.0000 6.0000 1
-3.0000 3.0000 3
-6.0000 6.0000 3
-3.0000 9.0000 3
0.0000 3.0000 4
-6.0000 0.0000 1
0.0000 6.0000 1
0.0000 3.0000 1
-3.0000 0.0000 2
-6.0000 6.0000 1
3.0000 0.0000 1
-3.0000 3.0000 1
-3.0000 6.0000 2
0.0000 3.0000 2
0.0000 6.0000 35
-6.0000 0.0000 1
0.0000 3.0000 2
-3.0000 6.0000 2
-6.0000 3.0000 4
0.0000 3.0000 1
0.0000 6.0000 1
-3.0000 -3.0000 2
0.0000 9.0000 1
-6.0000 3.0000 1
0.0000 6.0000 1
-3.0000 3.0000 3
0.0000 6.0000 2
-6.0000 0.0000 1
0.0000 3.0000 2
-3.0000 6.0000 1
3.0000 0.0000 2
-9.0000 3.0000 1
0.0000 9.0000 3
3.0000 6.0000 1
-3.0000 0.0000 2
-3.0000 0.0000 1
0.0000 3.0000 1
0.0000 6.0000 2
-6.0000 0.0000 1
0.0000 3.0000 2
0.0000 6.0000 1
-3.0000 3.0000 1
-6.0000 -3.0000 1
3.0000 3.0000 2
-3.0000 6.0000 1
0.0000 3.0000 2
0.0000 6.0000 1
0.0000 -3.0000 1
-3.0000 3.0000 2
0.0000 3.0000 1
0.0000 6.0000 1
-6.0000 0.0000 1
-3.0000 3.0000 2
3.0000 0.0000 1
-3.0000 6.0000 1
-6.0000 0.0000 2
0.0000 3.0000 1
0.0000 6.0000 1
-3.0000 0.0000 2
3.0000 3.0000 1
3.0000 6.0000 1
-3.0000 0.0000 1
0.0000 3.0000 2
-3.0000 6.0000 1
0.0000 3.0000 4
-6.0000 0.0000 1
0.0000 9.0000 1
-3.0000 -3.0000 1
0.0000 3.0000 1
-6.0000 6.0000 2
0.0000 3.0000 1
-3.0000 0.0000 2
0.0000 6.0000 1
-6.0000 3.0000 2
-3.0000 6.0000 3
3.0000 3.0000 2
-3.0000 0.0000 1
0.0000 6.0000 1
-6.0000 0.0000 1
-3.0000 0.0000 36
0.0000 3.0000 1
-6.0000 0.0000 1
0.0000 6.0000 1
-3.0000 3.0000 3
3.0000 6.0000 1
-9.0000 0.0000 1
3.0000 0.0000 1
-3.0000 3.0000 1
-3.0000 6.0000 2
0.0000 3.0000 2
-6.0000 0.0000 2
-3.0000 0.0000 1
-6.0000 6.0000 1
3.0000 0.0000 2
-6.0000 3.0000 1
3.0000 6.0000 1
-3.0000 0.0000 1
-6.0000 3.0000 1
3.0000 0.0000 2
-3.0000 0.0000 1
3.0000 0.0000 1
-3.0000 6.0000 1
0.0000 3.0000 1
0.0000 -3.0000 1
-3.0000 9.0000 1
0.0000 -3.0000 1
0.0000 3.0000 1
0.0000 3.0000 2
-6.0000 -3.0000 1
3.0000 9.0000 1
-3.0000 0.0000 1
-3.0000 9.0000 2
0.0000 -3.0000 2
-6.0000 3.0000 1
0.0000 3.0000 1
0.0000 -3.0000 1
-3.0000 -3.0000 1
0.0000 6.0000 1
0.0000 -3.0000 1
0.0000 3.0000 1
-6.0000 6.0000 1
-3.0000 0.0000 2
3.0000 3.0000 1
-3.0000 0.0000 1
-6.0000 6.0000 1
3.0000 0.0000 1
-3.0000 3.0000 1
-3.0000 6.0000 2
0.0000 3.0000 3
-6.0000 6.0000 1
0.0000 3.0000 3
0.0000 6.0000 1
-3.0000 0.0000 2
0.0000 3.0000 1
-6.0000 6.0000 2
3.0000 0.0000 1
-3.0000 0.0000 1
-3.0000 3.0000 1
3.0000 0.0000 1
-3.0000 6.0000 1
-6.0000 3.0000 1
0.0000 6.0000 3
-3.0000 0.0000 1
0.0000 3.0000 2
0.0000 6.0000 1
0.0000 -3.0000 1
0.0000 3.0000 1
-3.0000 3.0000 2
-3.0000 0.0000 1
-3.0000 0.0000 35
0.0000 6.0000 1
0.0000 3.0000 2
-3.0000 6.0000 1
-3.0000 0.0000 1
-3.0000 3.0000 1
3.0000 -3.0000 2
-3.0000 0.0000 2
0.0000 3.0000 1
-6.0000 6.0000 3
0.0000 3.0000 1
-3.0000 6.0000 3
-6.0000 3.0000 2
3.0000 0.0000 1
-3.0000 0.0000 1
3.0000 0.0000 1
-3.0000 6.0000 1
0.0000 3.0000 2
-3.0000 0.0000 1
0.0000 6.0000 1
-6.0000 3.0000 2
0.0000 6.0000 1
0.0000 -3.0000 2
0.0000 -6.0000 1
0.0000 9.0000 1
-3.0000 -3.0000 1
0.0000 3.0000 1
0.0000 3.0000 1
-3.0000 0.0000 1
-3.0000 6.0000 1
-3.0000 0.0000 1
3.0000 3.0000 1
-3.0000 0.0000 1
-6.0000 6.0000 2
0.0000 3.0000 1
-3.0000 6.0000 2
0.0000 3.0000 3
-6.0000 6.0000 1
-3.0000 0.0000 2
3.0000 3.0000 1
-3.0000 0.0000 1
-6.0000 6.0000 1
0.0000 3.0000 1
-3.0000 0.0000 3
-6.0000 0.0000 1
-3.0000 6.0000 1
3.0000 0.0000 1
-3.0000 3.0000 1
-6.0000 6.0000 2
3.0000 0.0000 1
-6.0000 3.0000 2
3.0000 0.0000 1
-3.0000 6.0000 1
-6.0000 3.0000 2
0.0000 6.0000 3
-3.0000 3.0000 1
0.0000 -3.0000 1
0.0000 6.0000 1
-6.0000 3.0000 2
0.0000 3.0000 1
-9.0000 9.0000 3
3.0000 -3.0000 1
-3.0000 9.0000 1
0.0000 -3.0000 1
0.0000 3.0000 1
-3.0000 3.0000 1
-6.0000 6.0000 36
0.0000 3.0000 2
-3.0000 6.0000 2
-6.0000 3.0000 1
3.0000 0.0000 1
-3.0000 0.0000 1
0.0000 6.0000 1
-3.0000 0.0000 1
0.0000 3.0000 1
0.0000 6.0000 2
-6.0000 0.0000 1
-3.0000 3.0000 1
3.0000 0.0000 2
0.0000 6.0000 2
-3.0000 0.0000 1
0.0000 3.0000 1
-6.0000 0.0000 2
0.0000 6.0000 1
0.0000 3.0000 2
0.0000 6.0000 1
-3.0000 0.0000 2
0.0000 3.0000 1
0.0000 6.0000 1
-6.0000 0.0000 2
0.0000 3.0000 1
-3.0000 0.0000 2
0.0000 6.0000 1
-6.0000 0.0000 2
0.0000 3.0000 1
-3.0000 6.0000 2
-6.0000 3.0000 2
3.0000 6.0000 1
-6.0000 0.0000 1
0.0000 3.0000 2
0.0000 9.0000 4
-6.0000 -3.0000 1
0.0000 3.0000 1
0.0000 6.0000 1
-3.0000 0.0000 2
-3.0000 3.0000 1
-3.0000 6.0000 1
-3.0000 3.0000 4
0.0000 3.0000 1
-6.0000 6.0000 1
0.0000 -3.0000 1
-3.0000 9.0000 2
3.0000 0.0000 1
-3.0000 0.0000 2
-9.0000 9.0000 2
-6.0000 3.0000 2
0.0000 6.0000 3
-3.0000 3.0000 1
0.0000 -3.0000 2
0.0000 9.0000 1
-6.0000 9.0000 1
0.0000 -3.0000 1
-3.0000 3.0000 1
3.0000 3.0000 1
-3.0000 -3.0000 1
0.0000 9.0000 1
-6.0000 0.0000 1
0.0000 3.0000 3
-3.0000 6.0000 1
-6.0000 3.0000 35
0.0000 6.0000 2
0.0000 -3.0000 1
0.0000 6.0000 1
-3.0000 -3.0000 1
0.0000 3.0000 1
0.0000 6.0000 1
-6.0000 0.0000 1
0.0000 3.0000 1
-3.0000 0.0000 1
3.0000 6.0000 1
-3.0000 0.0000 1
-6.0000 3.0000 1
3.0000 0.0000 1
-3.0000 0.0000 1
0.0000 9.0000 1
-3.0000 -3.0000 2
0.0000 -3.0000 1
-6.0000 3.0000 1
0.0000 3.0000 1
-3.0000 0.0000 2
0.0000 6.0000 1
-6.0000 0.0000 2
0.0000 3.0000 1
-3.0000 6.0000 3
3.0000 0.0000 1
3.0000 3.0000 2
-3.0000 0.0000 1
0.0000 6.0000 1
-3.0000 0.0000 1
0.0000 3.0000 1
0.0000 6.0000 1
-6.0000 0.0000 2
0.0000 3.0000 1
-3.0000 6.0000 2
-6.0000 3.0000 2
3.0000 0.0000 1
-3.0000 6.0000 1
-3.0000 0.0000 2
-6.0000 0.0000 1
0.0000 3.0000 2
-3.0000 0.0000 1
0.0000 6.0000 1
-6.0000 3.0000 3
0.0000 3.0000 1
-3.0000 3.0000 1
0.0000 3.0000 2
-6.0000 6.0000 2
0.0000 3.0000 2
-3.0000 6.0000 1
0.0000 -3.0000 1
0.0000 3.0000 2
0.0000 3.0000 1
-6.0000 0.0000 1
0.0000 6.0000 2
0.0000 3.0000 1
-3.0000 6.0000 1
3.0000 0.0000 2
-3.0000 3.0000 1
-6.0000 -3.0000 1
3.0000 9.0000 1
-3.0000 0.0000 1
3.0000 3.0000 1
-3.0000 0.0000 1
0.0000 6.0000 2
-3.0000 3.0000 1
-6.0000 6.0000 3
0.0000 3.0000 2
-3.0000 0.0000 2
0.0000 6.0000 1
-6.0000 0.0000 34
0.0000 9.0000 1
-3.0000 0.0000 3
0.0000 3.0000 2
0.0000 6.0000 1
-6.0000 0.0000 1
-3.0000 3.0000 3
-6.0000 6.0000 2
3.0000 0.0000 1
-3.0000 0.0000 1
0.0000 3.0000 1
-3.0000 3.0000 1
0.0000 6.0000 1
0.0000 -3.0000 1
-6.0000 3.0000 1
0.0000 6.0000 2
-3.0000 0.0000 1
3.0000 3.0000 1
-3.0000 6.0000 2
-6.0000 3.0000 1
0.0000 -3.0000 2
0.0000 3.0000 1
0.0000 6.0000 1
-3.0000 0.0000 1
-6.0000 3.0000 1
0.0000 6.0000 2
-3.0000 0.0000 3
-6.0000 0.0000 1
3.0000 3.0000 1
-3.0000 0.0000 1
0.0000 6.0000 1
-3.0000 3.0000 2
0.0000 6.0000 2
-6.0000 0.0000 2
0.0000 3.0000 1
-3.0000 0.0000 1
3.0000 6.0000 1
-3.0000 3.0000 1
-6.0000 0.0000 1
0.0000 9.0000 3
-3.0000 -3.0000 2
0.0000 9.0000 1
0.0000 -3.0000 1
-6.0000 6.0000 1
0.0000 -3.0000 1
0.0000 3.0000 1
0.0000 6.0000 1
-3.0000 -3.0000 1
0.0000 6.0000 1
-6.0000 0.0000 1
0.0000 6.0000 3
-3.0000 3.0000 1
0.0000 6.0000 3
0.0000 -3.0000 1
0.0000 6.0000 1
-6.0000 0.0000 1
-3.0000 6.0000 2
3.0000 0.0000 1
-3.0000 3.0000 2
-6.0000 6.0000 2
0.0000 3.0000 2
-3.0000 6.0000 1
-6.0000 3.0000 3
3.0000 0.0000 1
-6.0000 6.0000 1
3.0000 0.0000 1
-3.0000 0.0000 1
0.0000 3.0000 1
0.0000 6.0000 34
-6.0000 0.0000 2
0.0000 3.0000 1
-3.0000 0.0000 1
0.0000 9.0000 1
0.0000 -3.0000 1
-6.0000 3.0000 2
0.0000 6.0000 1
0.0000 3.0000 1
-3.0000 -3.0000 1
0.0000 3.0000 2
0.0000 6.0000 1
-6.0000 0.0000 1
0.0000 3.0000 1
0.0000 -3.0000 1
3.0000 0.0000 1
-6.0000 0.0000 1
3.0000 0.0000 1
-3.0000 9.0000 1
0.0000 -3.0000 1
0.0000 3.0000 1
0.0000 3.0000 1
-6.0000 -3.0000 1
0.0000 9.0000 1
-3.0000 -3.0000 1
-6.0000 -6.0000 1
-3.0000 3.0000 1
3.0000 6.0000 1
-3.0000 0.0000 1
-6.0000 3.0000 2
3.0000 0.0000 1
-6.0000 6.0000 2
3.0000 3.0000 1
-3.0000 0.0000 1
-6.0000 6.0000 3
0.0000 3.0000 2
-3.0000 6.0000 1
3.0000 0.0000 1
-9.0000 3.0000 1
3.0000 0.0000 1
-3.0000 0.0000 1
0.0000 6.0000 1
-3.0000 3.0000 2
0.0000 6.0000 2
-6.0000 0.0000 1
0.0000 9.0000 2
-3.0000 0.0000 1
0.0000 3.0000 2
-6.0000 0.0000 2
-6.0000 9.0000 2
-3.0000 0.0000 2
-3.0000 0.0000 2
3.0000 6.0000 1
-9.0000 0.0000 1
3.0000 0.0000 1
-3.0000 3.0000 1
0.0000 6.0000 1
-3.0000 3.0000 1
0.0000 -3.0000 2
0.0000 9.0000 1
0.0000 -3.0000 1
-6.0000 3.0000 1
0.0000 3.0000 1
-3.0000 0.0000 2
0.0000 6.0000 1
-6.0000 3.0000 2
0.0000 6.0000 2
-3.0000 0.0000 1
0.0000 3.0000 1
0.0000 6.0000 2
-6.0000 0.0000 2
0.0000 3.0000 1
-3.0000 0.0000 1
0.0000 6.0000 1
-6.0000 3.0000 35
3.0000 0.0000 1
-3.0000 0.0000 1
0.0000 6.0000 1
-3.0000 0.0000 1
0.0000 3.0000 1
0.0000 6.0000 3
-6.0000 3.0000 1
0.0000 6.0000 1
-3.0000 -3.0000 1
0.0000 6.0000 2
0.0000 -3.0000 1
0.0000 3.0000 1
-6.0000 0.0000 2
3.0000 6.0000 1
-3.0000 0.0000 1
-3.0000 3.0000 1
3.0000 0.0000 2
-3.0000 0.0000 1
-6.0000 6.0000 1
-3.0000 0.0000 1
-6.0000 3.0000 2
3.0000 0.0000 1
-3.0000 0.0000 1
0.0000 6.0000 1
-3.0000 3.0000 1
0.0000 6.0000 3
-6.0000 3.0000 1
-3.0000 0.0000 2
3.0000 6.0000 1
-3.0000 0.0000 1
3.0000 3.0000 2
-3.0000 -3.0000 1
-6.0000 9.0000 1
3.0000 -3.0000 1
-3.0000 3.0000 1
-3.0000 3.0000 1
3.0000 0.0000 1
-3.0000 0.0000 1
0.0000 6.0000 1
-6.0000 3.0000 2
0.0000 6.0000 2
-3.0000 0.0000 1
3.0000 3.0000 1
-3.0000 0.0000 1
-6.0000 0.0000 1
0.0000 6.0000 1
0.0000 3.0000 2
-3.0000 0.0000 1
0.0000 6.0000 1
-3.0000 3.0000 2
-3.0000 0.0000 1
-3.0000 6.0000 1
3.0000 0.0000 1
-3.0000 3.0000 2
-6.0000 6.0000 2
0.0000 3.0000 2
-3.0000 0.0000 2
-9.0000 0.0000 1
3.0000 0.0000 1
-3.0000 6.0000 1
0.0000 3.0000 1
-6.0000 0.0000 2
0.0000 6.0000 1
0.0000 3.0000 2
-3.0000 6.0000 1
-6.0000 0.0000 2
3.0000 0.0000 1
-3.0000 3.0000 1
0.0000 6.0000 1
-3.0000 0.0000 4
0.0000 3.0000 1
-6.0000 0.0000 36
-3.0000 6.0000 2
-6.0000 0.0000 1
3.0000 3.0000 2
-3.0000 0.0000 1
3.0000 6.0000 1
-3.0000 3.0000 1
-3.0000 0.0000 2
0.0000 6.0000 1
-6.0000 3.0000 3
0.0000 6.0000 1
-3.0000 3.0000 4
3.0000 0.0000 1
-3.0000 0.0000 1
0.0000 6.0000 1
-6.0000 3.0000 1
0.0000 6.0000 3
-3.0000 0.0000 1
0.0000 3.0000 2
0.0000 6.0000 2
0.0000 3.0000 2
-6.0000 6.0000 1
0.0000 -3.0000 1
-3.0000 3.0000 1
0.0000 3.0000 3
-6.0000 6.0000 1
-3.0000 0.0000 2
3.0000 0.0000 1
-3.0000 9.0000 1
0.0000 -3.0000 1
-6.0000 3.0000 1
0.0000 3.0000 2
-3.0000 3.0000 1
0.0000 6.0000 2
0.0000 6.0000 1
-6.0000 3.0000 1
-3.0000 0.0000 2
3.0000 6.0000 1
-3.0000 0.0000 1
-6.0000 3.0000 1
3.0000 0.0000 1
-3.0000 6.0000 1
-3.0000 0.0000 2
0.0000 3.0000 1
-6.0000 6.0000 1
3.0000 0.0000 1
-3.0000 3.0000 2
-3.0000 0.0000 1
3.0000 6.0000 1
-3.0000 3.0000 1
-6.0000 0.0000 2
3.0000 0.0000 1
-3.0000 6.0000 1
0.0000 3.0000 4
-3.0000 0.0000 2
0.0000 6.0000 3
-6.0000 0.0000 1
0.0000 3.0000 1
3.0000 0.0000 1
-3.0000 6.0000 1
-3.0000 0.0000 1
3.0000 3.0000 1
-3.0000 0.0000 1
0.0000 6.0000 1
-6.0000 3.0000 1
